simulation_hour,actual_demand,predicted_demand,prediction_error,cpu_allocated,ram_allocated_gb,throughput,cost_usd,efficiency_score,block_hash
576,1033,1035.34,2.34,1,2,1.58,0.072,0,d10ecc57da003170...
577,987,998.06,11.06,1,2,1.58,0.072,0,0d6903e39b8bab70...
578,1015,994.28,20.72,1,2,1.58,0.072,0,ba10e46e4d35a532...
579,973,1000.9,27.9,1,2,1.58,0.072,0,c38dc5113f86b0da...
580,1029,999.94,29.06,1,2,1.58,0.072,0,61fe3eff55c7b96d...
581,1033,1001.67,31.33,1,2,1.58,0.072,0,15d6f81858db0570...
582,987,1029.64,42.64,1,2,1.58,0.072,0,b144f7b6325f7ad1...
583,2757,2774.78,17.78,3,5,4.42,0.204,0,13da85705432ca76...
584,2784,2780.89,3.11,3,5,4.42,0.204,0,9b89364e7fbf6b18...
585,4320,4260.96,59.04,5,8,7.24,0.336,0,0497db1a530109dc...
586,4294,4238.34,55.66,5,8,7.24,0.336,0,9a0a1b3b65b9c259...
587,4213,4234.6,21.6,5,8,7.24,0.336,0,0869a2ec14e11aef...
588,4202,4252.04,50.04,5,8,7.24,0.336,0,192401557fe65c5d...
589,4213,4253.13,40.13,5,8,7.24,0.336,0,be9d486aa9e739dd...
590,8508,5563.56,2944.44,6,11,9.18,0.42,0,58ba2603cd52d2b6...
591,4283,4952.64,669.64,6,9,8.47,0.396,0,9cfd4b3f5d186ab5...
592,4153,4983.92,830.92,6,9,8.47,0.396,0,f544889b5fadc1d6...
593,4271,5952.39,1681.39,7,11,10.06,0.468,0,daf9b0a5f6845af8...
594,4244,5157.15,913.15,6,10,8.83,0.408,0,ae4a64231aeb53a7...
595,4301,4599.0,298.0,5,9,7.59,0.348,0,adc919a161fc9183...
596,4173,4220.08,47.08,5,8,7.24,0.336,0,df63f4b3fa66188a...
597,4266,4238.65,27.35,5,8,7.24,0.336,0,512dae24e274d320...
598,4158,4209.6,51.6,5,8,7.24,0.336,0,7b7a6e4c5128e7d4...
599,3962,2002.95,1959.05,2,4,3.17,0.144,0,235148b74e1e2b19...
600,3552,3291.28,260.72,4,6,5.65,0.264,0,b15c12dae68b292e...
601,3335,3417.08,82.08,4,6,5.65,0.264,0,c0d4b80e300cfa82...
602,3524,3419.93,104.07,4,6,5.65,0.264,0,643773268ff5d08f...
603,6958,3517.43,3440.57,4,7,6.0,0.276,0,6c73ecd07fdb90cd...
604,3528,3364.66,163.34,4,6,5.65,0.264,0,c469fbd15f3bceea...
605,3342,3524.22,182.22,4,7,6.0,0.276,0,09972ef25ddc582d...
606,3507,3440.3,66.7,4,6,5.65,0.264,0,cb4bd0b7bb4ddf26...
607,9719,7717.89,2001.11,9,15,13.25,0.612,0,b44123ae87053eab...
608,9488,9698.82,210.82,12,19,17.31,0.804,0,a938aa8e69ae65e5...
609,15134,13063.85,2070.15,16,26,23.32,1.08,0,f65da465e417f2e3...
610,15295,14472.35,822.65,18,28,25.78,1.2,0,f7bc5b40da9e0380...
611,14920,14879.56,40.44,18,29,26.14,1.212,0,c414e1b2cd3d1815...
612,14458,14817.77,359.77,18,29,26.14,1.212,0,6258bc06cf8e58b6...
613,15134,14546.3,587.7,18,29,26.14,1.212,0,90147e31cc02879e...
614,15193,14788.48,404.52,18,29,26.14,1.212,0,9368aeecb8eb5c35...
615,14882,14894.39,12.39,18,29,26.14,1.212,0,feff233f479d0b8a...
616,14864,15049.93,185.93,18,30,26.5,1.224,0,fd0b1e7a9b2b8296...
617,14672,14838.24,166.24,18,29,26.14,1.212,0,3b8814aa5daa1eae...
618,14805,14827.79,22.79,18,29,26.14,1.212,0,8061a8216e20706d...
619,14980,14962.74,17.26,18,29,26.14,1.212,0,51a014a76ad98df0...
620,14969,14919.06,49.94,18,29,26.14,1.212,0,c72a4ca541244258...
621,14794,14762.83,31.17,18,29,26.14,1.212,0,e61f36a4e59cdf8c...
622,14693,14703.3,10.3,18,29,26.14,1.212,0,c26da9bda97fe7b4...
623,7049,9803.36,2754.36,12,19,17.31,0.804,0,fa95d18028addf3b...
624,1316,3164.39,1848.39,3,6,4.75,0.216,0,6ec44429603ebe7b...
625,1271,2249.35,978.35,2,4,3.17,0.144,0,8e9c38122ca1c510...
